ENFERMEDADES DE LA LENGUA,"Excluye fibrosis de la submucosa de la lengua, eritroplasia de la lengua, hiperplasia epitelial focal de la lengua, leucoedema de la lengua, leucoplasia de la lengua, leucoplasia pilosa de la lengua, macroglosia."
Atrofia de las papilas linguales,Glositis atrófica
"Enfermedades de la lengua, no especificada.",Glosopatía
Glositis,Absceso de la lengua. Úlcera traumática de la lengua. Excluye glositis atrófica.
Glositis romboidea mediana,
Glosodinia,Glosopirosis. Lengua dolorosa.
Hipertrofia de las papilas linguales,"Hipertrofia de las papilas foliáceas. Lengua negra pilosa. Lengua negra vellosa, Lengua saburral."
Lengua geográfica,Glositis areata exfoliativa. Glositis migratoria benigna.
Lengua plegada,Lengua con surcos. Lengua escrotal. Lengua fisurada. Excluye lengua fisurada congénita.
Otras enfermedades de la lengua,Agrandamiento. Atrofia. Crenación de la lengua. Hipertrofia.
