Absceso periapical con fistula,Absceso dental con fistula. Absceso dentoalveolar con fistula.
Absceso periapical sin fistula,Absceso dental sin fistula. Absceso dentoalveolar sin fistula.
Degeneracion de la pulpa,Calcificaciones de la pulpa. Piedras. Denticulos.
Formacion anormal de tejido duro en la pulpa,Dentina secundaria o irregular.
Necrosis de la pulpa,Gangrena de la pulpa.
Otras enfermedades y las no especificadas de la pulpa y del tejido periapical,
Periodontitis apical aguda originada en la pulpa,
Periodontitis apical cronica,Granuloma apical o periapical. Periodontitis apical cronica.
Pulpitis,"Absceso. Polipo. Pulpitis aguda. Pulpitis cronica (hiperplasica, ulcerativa). Pulpitis supurativa."
Quiste radicular,Quiste apical (periodontal). Quiste periapical. Quiste radicular residual. Excluye: quiste lateral periodontal.
