Abrasion de los dientes,"Abrasion por dentifrico, habitos, ocupacional, ritual, tradicional. Defecto cuneiforme de los dientes."
Anquilosis dental,
Atricion excesiva de los dientes,Desgaste oclusal. Desgaste proximal.
Cambios posteruptivos del color de los tejidos dentales duros,Excluye depositos (acreciones) en los dientes.
Depositos (acreciones) en los dientes,"Calculo dental supragingival o subgingival. Deposito en los dientes anaranjado, betel, materia alba, negro, tabaco, verde. Pigmentacion de los dientes."
Enfermedad no especificada de los tejidos dentales duros,
Erosion de los dientes,"Debida a dieta, drogas y medicamentos, vomito persistente, idiopatica, ocupacional."
Hipercementosis,Hiperplasia del cemento.
Otras enfermedades especificadas de los tejidos duros de los dientes,Dentina sensible. Esmalte irradiado.
Reabsorcion patologica de los dientes,Granuloma interno de la pulpa. Reabsorcion externa de los dientes.
